field,type,max_chars,description
$CHFGGA02,text,8,Identifies which device created the packet: new FGGA s/n 00001392
packet_length,unsigned_int,3,the length of the packet (not including all characters up-to the comma which follows this number)
utc_time,unsigned_int,10,the valid time for this packet (usually 1 second behind actual time)
ptp_sync,text,1,"indication of whether the CRIO is successfully synchronised to PTP time ( 1 = synced, 0 = not-synced )"
MFM,double_float,7,Mass Flow Meter
flight_num,text,5,"indicates the flight number for this packet ( an ""empty"" string here indicates that the CRIO hasn't been assigned a flight number )"
CPU_Load,single_float,5,indicate cRIO CPU total %
USB_disk_space,single_float,5,USB disk space used in %
ch4,double_float,15,methane in ppm (wet mole fraction from FGGA)
co2,double_float,15,carbon dioxide in ppm (wet mole fraction from FGGA)
h2o,double_float,15,water in ppm (from FGGA)
press_torr,double_float,15,cell pressure in torr
temp_c,double_float,15,cell temperature in Celsius
fit_flag,double_float,15,spectral fitting flag
rda_usec,double_float,15,Ring down time in microseconds (laser A Methane/water)
rdb_usec,double_float,15,Ring down time in microseconds (laser B CO2)
ch4_dry,double_float,15,methane dry in ppb (NB negative values when press_torr < 47.5 or >52.5); either calculated or LGR output TBC
co2_dry,double_float,15,carbon dioxide in ppm (NB negative values when press_torr < 47.5 or >52.5); either calculated or LGR output TBC
MFC_1_absolute_pressure,double_float,6,ALICAT MFC1 FGGA calibration gas (CALDECK) (PSIA)
MFC_1_temperature,double_float,6,ALICAT MFC1 FGGA calibration gas (CALDECK) (degC)
MFC_1volumetic_flow,double_float,5,ALICAT MFC1 FGGA calibration gas (CALDECK) (lpm)
MFC_1mass_flow,double_float,5,ALICAT MFC1 FGGA calibration gas (CALDECK)  (slpm)
MFC_1set_point,double_float,5,ALICAT MFC1 FGGA calibration gas (CALDECK) (slpm)
V1,signed_int,2,FGGA Calibration Inlet window valve (3 way) 
V2,signed_int,2,FGGA high calibration (CALDECK 3 way)
V3,signed_int,2,FGGA low calibration valve (CALDECK 3 way)
V4,signed_int,2,FGGA Calibration MFC1 valve (CALDECK 2 way NC)
restart_FGGA,signed_int,2,software restart FGGA
FGGA_Pump,double_float,4,FGGA pump speed voltage control (0 to 1.4 volts)
CAL_MFC_1Set_Value,double_float,5,MFC1 software set value
amb_temp_c,double_float,15,FGGA bench temperature in celcius
V10,signed_int,2,Scroll pump isolation valve (2 way NC)
V11,signed_int,2,Low flow inlet bypass valve (2 way NC)
V12,signed_int,2,High flow inlet bypass valve (2 way NC)
motor_freq,unsigned_int,2,Scroll pump motor frequency (Hz)
system_status_1_register,text,4,Scroll pump status (HEX)
system_status_2_register,text,4,Scroll pump status (HEX)
warning_register,text,4,Scroll pump status (HEX)
fault_register,text,4,Scroll pump status (HEX)
pump_controller_temp,single_float,5,Scroll pump controller temperature (degC)
measured_link_voltage,single_float,5,Scroll pump link voltage (V)
measured_motor_current,single_float,5,Scroll pump motor current (A)
measured_motor_power,single_float,5,Scroll pump motor power (W)
normal_speed_threshold,single_float,2,Scroll pump normal speed threshold (%)
standby_speed,single_float,2,Scroll pump standby speed (%)
